pond_id,treatment,period,doy,GPP,R,NEP,dosat_dailyavg
A,pulsed,BASE,142,NA,NA,NA,138.91143658333334
B,pulsed,BASE,142,NA,NA,NA,143.02247589583334
C,pulsed,BASE,142,NA,NA,NA,138.08416139583332
D,reference,BASE,142,NA,NA,NA,127.70804502083334
E,reference,BASE,142,NA,NA,NA,134.86960977083334
F,reference,BASE,142,NA,NA,NA,129.65845997916668
A,pulsed,BASE,143,NA,NA,NA,159.01027570833332
B,pulsed,BASE,143,NA,NA,NA,142.54797716666667
C,pulsed,BASE,143,NA,NA,NA,141.48509866666666
D,reference,BASE,143,NA,NA,NA,125.03195422916667
E,reference,BASE,143,NA,NA,NA,136.86573747916665
F,reference,BASE,143,NA,NA,NA,134.06034181249998
A,pulsed,BASE,144,NA,NA,NA,167.29368577083332
B,pulsed,BASE,144,NA,NA,NA,145.11865114583333
C,pulsed,BASE,144,NA,NA,NA,141.00881079166666
D,reference,BASE,144,NA,NA,NA,135.0219479375
E,reference,BASE,144,NA,NA,NA,142.52904966666665
F,reference,BASE,144,NA,NA,NA,138.433265625
A,pulsed,BASE,145,NA,NA,NA,164.182776625
B,pulsed,BASE,145,NA,NA,NA,154.18872822916666
C,pulsed,BASE,145,NA,NA,NA,147.33382747916667
D,reference,BASE,145,3.370496723,-1.307029149,2.063467574,135.42223572916666
E,reference,BASE,145,6.012357082,-1.250815197,4.761541885,144.94192
F,reference,BASE,145,NA,NA,NA,138.9559595
A,pulsed,BASE,146,20.4229749,-9.993124735,10.42985016,161.70490875
B,pulsed,BASE,146,9.685060698,-8.933038281,0.752022417,114.59500664583334
C,pulsed,BASE,146,9.332177406,-5.037510721,4.294666685,141.36747875
D,reference,BASE,146,3.941971289,-4.247541694,-0.305570404,133.81899035416666
E,reference,BASE,146,7.240611575,-4.481285502,2.759326074,151.28421954166666
F,reference,BASE,146,1.413958028,-0.891175045,0.522782983,136.6201653125
A,pulsed,BASE,147,8.828259677,-7.025053543,1.803206135,160.33004135416667
B,pulsed,BASE,147,NA,NA,NA,122.14941483333334
C,pulsed,BASE,147,9.052896664,-2.727855378,6.325041286,137.99694535416666
D,reference,BASE,147,4.036313598,-2.16196336,1.874350238,120.88293014583333
E,reference,BASE,147,5.977911689,-2.163943635,3.813968055,143.81246764583332
F,reference,BASE,147,3.693316227,-0.041349887,3.65196634,129.67146941666667
A,pulsed,BASE,148,10.30926107,-6.293505904,4.015755167,161.8385618125
B,pulsed,BASE,148,3.096166131,-3.250593103,-0.154426971,125.93451095833333
C,pulsed,BASE,148,9.56866483,-1.428261213,8.140403617,146.27562766666668
D,reference,BASE,148,2.851868671,-2.011512981,0.84035569,123.058561
E,reference,BASE,148,4.050194093,-1.487434798,2.562759295,147.16881125
F,reference,BASE,148,2.948912356,-1.616308675,1.332603681,134.65009058333334
A,pulsed,BASE,149,7.257719065,-7.113463909,0.144255156,146.03617714583334
B,pulsed,BASE,149,NA,NA,NA,112.72753472916666
C,pulsed,BASE,149,3.91477344,-2.554254033,1.360519407,149.55898814583333
D,reference,BASE,149,3.664843429,-2.449227135,1.215616293,121.52064866666667
E,reference,BASE,149,5.308249156,-4.738646656,0.5696025,138.80527064583333
F,reference,BASE,149,5.257187112,-2.508229035,2.748958077,135.45603122916665
A,pulsed,BASE,150,NA,NA,NA,147.31821238297871
B,pulsed,BASE,150,NA,NA,NA,134.97327974468084
C,pulsed,BASE,150,NA,NA,NA,160.67246164583332
D,reference,BASE,150,NA,NA,NA,140.6749635625
E,reference,BASE,150,NA,NA,NA,123.83527872340426
F,reference,BASE,150,NA,NA,NA,165.0793675106383
A,pulsed,BASE,151,0.991497349,-5.282115186,-4.290617837,103.438843125
B,pulsed,BASE,151,NA,NA,NA,114.025317
C,pulsed,BASE,151,NA,NA,NA,173.50452854166667
D,reference,BASE,151,3.446563384,-0.98591114,2.460652245,155.98195775
E,reference,BASE,151,3.757184409,-1.129094809,2.6280896,147.52371077083333
F,reference,BASE,151,4.544489169,-1.084166278,3.460322891,185.908025875
A,pulsed,BASE,152,NA,NA,NA,151.05584170833333
B,pulsed,BASE,152,8.374708837,-6.405252294,1.969456543,130.28589075
C,pulsed,BASE,152,NA,NA,NA,181.40757795833332
D,reference,BASE,152,0.808678771,-1.263906575,-0.455227804,154.76316816666667
E,reference,BASE,152,6.255047365,-4.487310863,1.767736503,154.77691185416666
F,reference,BASE,152,3.332574291,-0.373845994,2.958728297,185.55390054166668
A,pulsed,BASE,153,1.882355225,-1.707259132,0.175096093,154.40517816666667
B,pulsed,BASE,153,5.4585645,-5.714562547,-0.255998048,135.63639910416666
C,pulsed,BASE,153,2.182709724,-2.462434599,-0.279724875,170.149246625
D,reference,BASE,153,11.73389992,-2.13020665,9.603693266,163.359870375
E,reference,BASE,153,9.863788974,-0.933752254,8.93003672,162.84316654166668
F,reference,BASE,153,15.33440833,-1.754657661,13.57975067,187.04874227083334
A,pulsed,BASE,154,NA,NA,NA,142.69654395833334
B,pulsed,BASE,154,3.23694313,-2.784504457,0.452438673,133.255403375
C,pulsed,BASE,154,NA,NA,NA,166.269505625
D,reference,BASE,154,NA,NA,NA,173.06726852083332
E,reference,BASE,154,NA,NA,NA,170.60796622916666
F,reference,BASE,154,NA,NA,NA,197.36018916666666
A,pulsed,BASE,155,3.787158303,-4.858912476,-1.071754173,138.63891277083334
B,pulsed,BASE,155,12.67232745,-18.23035087,-5.558023429,108.8785216875
C,pulsed,BASE,155,5.321259569,-2.069620905,3.251638664,168.84232477083333
D,reference,BASE,155,5.491363027,-6.295587381,-0.804224354,175.64526404166668
E,reference,BASE,155,4.758985239,-2.886753138,1.872232101,167.96380052083333
F,reference,BASE,155,10.21980351,-6.684494148,3.535309364,203.51243235416666
A,pulsed,BASE,156,1.340571122,-1.66753719,-0.326966068,126.67628254166667
B,pulsed,BASE,156,4.8591087569999996,-5.93659053,-1.077481773,107.65791254166666
C,pulsed,BASE,156,4.516133681,-1.871380153,2.644753528,168.9100178125
D,reference,BASE,156,NA,NA,NA,178.55415679166666
E,reference,BASE,156,5.885680348,-1.931623947,3.954056401,168.62732229166667
F,reference,BASE,156,NA,NA,NA,182.66539691666668
A,pulsed,BASE,157,3.917159324,-5.05116191,-1.134002585,116.08322510416667
B,pulsed,BASE,157,NA,NA,NA,107.11556329166666
C,pulsed,BASE,157,3.496667009,-1.17395562,2.322711389,171.65510572916668
D,reference,BASE,157,NA,NA,NA,169.13390979166667
E,reference,BASE,157,6.918441955,-2.935500674,3.982941281,163.00314102083334
F,reference,BASE,157,5.615025389,-3.030407597,2.584617792,179.6115743125
A,pulsed,BASE,158,2.518378018,-1.89733466,0.621043359,114.450429375
B,pulsed,BASE,158,5.271826167,-4.196407514,1.075418653,104.31046704166667
C,pulsed,BASE,158,3.560921376,-1.560600439,2.000320937,170.3838818125
D,reference,BASE,158,NA,NA,NA,167.88337633333333
E,reference,BASE,158,8.190557533,-3.733617387,4.456940146,160.10469920833333
F,reference,BASE,158,NA,NA,NA,174.17285633333333
A,pulsed,BASE,159,NA,NA,NA,114.9343171875
B,pulsed,BASE,159,5.065050441,-5.940113463,-0.875063021,109.65982320833334
C,pulsed,BASE,159,4.003082188,-2.864112544,1.138969644,166.6865224375
D,reference,BASE,159,7.046582984,-5.236803833,1.809779151,179.25831645833333
E,reference,BASE,159,7.940586372,-3.419931291,4.520655081,170.01922981250001
F,reference,BASE,159,6.547350215,-4.563223579,1.984126636,167.323811875
A,pulsed,BASE,160,7.685569501,-8.490220483,-0.804650982,107.85296179166667
B,pulsed,BASE,160,5.417377409,-4.90653584,0.51084157,110.67802216666666
C,pulsed,BASE,160,3.135089948,-1.137159148,1.9979308,164.156455625
D,reference,BASE,160,5.208202329,-2.3269102,2.881292128,179.96099527083334
E,reference,BASE,160,16.22387859,-14.29781615,1.926062438,163.83692979166668
F,reference,BASE,160,6.984553405,-4.949769024,2.034784381,165.28195072916668
A,pulsed,BASE,161,1.415170607,-4.447872081,-3.032701475,82.40673045833333
B,pulsed,BASE,161,7.615602243,-11.00472762,-3.389125379,96.048175
C,pulsed,BASE,161,4.396212982,-5.398123498,-1.001910516,145.26683872916666
D,reference,BASE,161,8.12542412,-11.00733747,-2.881913346,154.014923125
E,reference,BASE,161,4.747515503,-9.25722969,-4.509714187,131.6153681875
F,reference,BASE,161,2.105951989,-3.994650563,-1.888698574,141.80799935416667
A,pulsed,BASE,162,5.180048451,-8.37101262,-3.190964169,66.13941102083334
B,pulsed,BASE,162,6.147579084,-7.198804534,-1.05122545,80.826826125
C,pulsed,BASE,162,7.709354696,-5.334286983,2.375067713,118.4755378125
D,reference,BASE,162,10.15544222,-7.75377487,2.401667351,116.45385595833334
E,reference,BASE,162,7.651570965,-5.194231148,2.457339817,106.33889360416667
F,reference,BASE,162,6.162340356,-6.828905142,-0.666564786,110.88597489583333
A,pulsed,BASE,163,0.495915373,-5.756023199,-5.260107826,55.311284729166665
B,pulsed,BASE,163,3.969975672,-3.041893305,0.928082367,74.4657333125
C,pulsed,BASE,163,9.23491143,-5.295958947,3.938952483,127.61682514583333
D,reference,BASE,163,NA,NA,NA,105.6164805
E,reference,BASE,163,NA,NA,NA,125.48524229166667
F,reference,BASE,163,8.719428592,-7.038493794,1.680934798,112.74032829166667
A,pulsed,BASE,164,NA,NA,NA,58.52701833333333
B,pulsed,BASE,164,NA,NA,NA,80.32461039583333
C,pulsed,BASE,164,NA,NA,NA,150.28240525531916
D,reference,BASE,164,NA,NA,NA,146.3697514680851
E,reference,BASE,164,9.160928034,-6.197113581,2.963814453,155.4820149375
F,reference,BASE,164,6.868066851,-5.158973866,1.709092985,121.39486425
A,pulsed,BASE,165,NA,NA,NA,86.94087275
B,pulsed,BASE,165,NA,NA,NA,113.58179979166667
C,pulsed,BASE,165,NA,NA,NA,167.54248239583333
D,reference,BASE,165,NA,NA,NA,178.69962125
E,reference,BASE,165,11.18779405,-3.884921832,7.30287222,181.94411745833332
F,reference,BASE,165,4.754586457,-2.614036726,2.140549731,127.86835360416667
A,pulsed,BASE,166,4.981026879,-8.256024457,-3.274997577,82.42530404166666
B,pulsed,BASE,166,3.553279937,-4.111087106,-0.557807169,121.86585360416666
C,pulsed,BASE,166,5.019897379,-3.132015379,1.887882,168.86106654166667
D,reference,BASE,166,14.96670317,-17.50883477,-2.542131605,158.21331849999999
E,reference,BASE,166,15.87670058,-10.74499183,5.131708751,187.5772251875
F,reference,BASE,166,6.478393472,-3.62029479,2.858098682,132.82182385416667
A,pulsed,BASE,167,3.627793191,-7.703358016,-4.075564824,80.53001825
B,pulsed,BASE,167,5.499048615,-7.277001594,-1.777952979,112.65800695833333
C,pulsed,BASE,167,5.809522344,-2.855276461,2.954245884,169.31950833333335
D,reference,BASE,167,9.0017486,-10.89185352,-1.890104925,153.00609820833333
E,reference,BASE,167,16.65463642,-11.44052759,5.21410883,191.532742625
F,reference,BASE,167,6.13512988,-6.445283693,-0.310153813,124.35569729166667
A,pulsed,BASE,168,0.588408347,-1.937510103,-1.349101756,80.59818272916667
B,pulsed,BASE,168,5.006029228,-5.248989728,-0.2429605,115.04689510416667
C,pulsed,BASE,168,5.61131488,-3.479801209,2.131513671,171.8127015
D,reference,BASE,168,5.311423482,-3.297032166,2.014391316,174.99319889583333
E,reference,BASE,168,11.88541605,-10.31864612,1.566769929,200.68979702083334
F,reference,BASE,168,5.12065744,-5.210886646,-0.090229206,130.05821297916665
A,pulsed,BASE,169,0.12505549,-1.420868047,-1.295812558,72.99520239583333
B,pulsed,BASE,169,6.178012827,-7.130556042,-0.952543215,110.1651888125
C,pulsed,BASE,169,4.651889414,-2.270584737,2.381304676,177.47441720833334
D,reference,BASE,169,8.649035718,-8.27625871,0.372777007,170.05488654166666
E,reference,BASE,169,12.75148911,-9.360357983,3.391131132,198.5076780625
F,reference,BASE,169,9.532428619,-9.152916343,0.379512276,116.41490391666666
A,pulsed,BASE,170,NA,NA,NA,82.35062514583333
B,pulsed,BASE,170,1.474561127,-2.613579456,-1.139018329,109.594456875
C,pulsed,BASE,170,3.672553811,-2.22640427,1.446149541,172.09946145833334
D,reference,BASE,170,12.34640988,-16.63448363,-4.288073759,157.6695474375
E,reference,BASE,170,11.73706908,-11.97486329,-0.237794209,190.300521875
F,reference,BASE,170,1.97204123,-1.02735594,0.94468529,129.24523479166666
A,pulsed,BASE,171,NA,NA,NA,65.74971579166666
B,pulsed,BASE,171,2.722319478,-4.226739858,-1.50442038,91.37827554166667
C,pulsed,BASE,171,2.706359892,-2.04600643,0.660353462,163.64296145833333
D,reference,BASE,171,NA,NA,NA,143.85670170833333
E,reference,BASE,171,8.647715725,-12.09721818,-3.449502455,159.875088
F,reference,BASE,171,5.9165659,-6.682022542,-0.765456642,108.68075722916667
A,pulsed,BASE,172,1.821333056,-7.89663267,-6.075299615,53.3604116875
B,pulsed,BASE,172,9.609066918,-7.823497474,1.785569443,91.75656260416666
C,pulsed,BASE,172,5.463520006,-4.860339644,0.603180361,144.88934879166666
D,reference,BASE,172,5.528137498,-9.916120431,-4.387982932,121.259655375
E,reference,BASE,172,12.54223996,-3.860487362,8.681752602,136.31561152083333
F,reference,BASE,172,8.036041983,-9.469748193,-1.43370621,109.64458552083333
A,pulsed,BASE,173,NA,NA,NA,53.834398791666665
B,pulsed,BASE,173,6.847609388,-9.975326836,-3.127717448,84.11202927083333
C,pulsed,BASE,173,3.382189704,-2.460624687,0.921565017,148.88791339583332
D,reference,BASE,173,NA,NA,NA,111.538236375
E,reference,BASE,173,16.20438457,-18.81591195,-2.611527375,150.35061725
F,reference,BASE,173,4.57652041,-5.295992086,-0.719471676,113.15067560416666
A,pulsed,BASE,174,NA,NA,NA,47.53074095833333
B,pulsed,BASE,174,8.977254804,-11.63877275,-2.661517942,79.27326435416667
C,pulsed,BASE,174,1.836430858,-4.03352936,-2.197098502,127.150800625
D,reference,BASE,174,5.377569925,-8.850657327,-3.473087402,102.56039775
E,reference,BASE,174,9.923354057,-15.6854301,-5.762076047,120.02904545833333
F,reference,BASE,174,1.408820593,-4.384592438,-2.975771845,100.17544285416666
A,pulsed,BASE,175,6.662820207,-9.740213309,-3.077393102,34.33379145833333
B,pulsed,BASE,175,5.128907957,-6.96821797,-1.839310014,57.373803708333334
C,pulsed,BASE,175,4.394382931,-4.321207749,0.073175182,112.82382995833333
D,reference,BASE,175,15.16641874,-16.48351659,-1.317097853,81.57785433333333
E,reference,BASE,175,18.71289021,-10.07465988,8.638230331,128.81234154166665
F,reference,BASE,175,8.6982342,-5.281521722,3.416712478,99.22069664583333
A,pulsed,PULSE1,176,2.420007266,-6.932577255,-4.512569989,35.126557291666664
B,pulsed,PULSE1,176,10.36386087,-11.92884516,-1.56498429,72.498997625
C,pulsed,PULSE1,176,5.77344219,-4.837004261,0.936437929,136.351415375
D,reference,PULSE1,176,12.66871592,-16.53293866,-3.864222736,89.19454064583333
E,reference,PULSE1,176,18.16300528,-14.99916237,3.163842907,132.55257166666667
F,reference,PULSE1,176,8.891586782,-11.11219846,-2.220611679,117.89338195833334
A,pulsed,PULSE1,177,3.169252149,-4.192412793,-1.023160644,48.000636666666665
B,pulsed,PULSE1,177,2.533109844,-5.560829949,-3.027720106,66.50213685416666
C,pulsed,PULSE1,177,8.742768283,-7.952998157,0.789770125,148.40815022916667
D,reference,PULSE1,177,6.110909482,-5.240579814,0.870329668,117.98234160416666
E,reference,PULSE1,177,7.416239683,-1.705270751,5.710968932,147.83114802083333
F,reference,PULSE1,177,NA,NA,NA,110.5729748125
A,pulsed,PULSE1,178,0.279609307,-4.271586655,-3.991977348,44.4376855625
B,pulsed,PULSE1,178,5.483487503,-7.252728024,-1.769240521,69.37771764583333
C,pulsed,PULSE1,178,0.665208281,-0.331211246,0.333997035,158.62632491666668
D,reference,PULSE1,178,4.60049875,-7.888501196,-3.288002446,117.15409779166667
E,reference,PULSE1,178,7.906128752,-10.73141575,-2.825286993,170.045669875
F,reference,PULSE1,178,NA,NA,NA,101.66731791666666
A,pulsed,PULSE1,179,9.83023179,-21.54021307,-11.70998128,22.8170390625
B,pulsed,PULSE1,179,2.171555768,-4.661604979,-2.490049211,64.92882708333333
C,pulsed,PULSE1,179,1.157331736,-0.204236652,0.953095084,151.37732229166667
D,reference,PULSE1,179,3.745604929,-4.454804592,-0.709199663,89.12581395833334
E,reference,PULSE1,179,3.848702393,-5.614441058,-1.765738666,144.19976583333334
F,reference,PULSE1,179,2.870304392,-3.484472497,-0.614168105,114.80412210416667
A,pulsed,PULSE1,180,NA,NA,NA,25.278870729166666
B,pulsed,PULSE1,180,NA,NA,NA,52.663237645833334
C,pulsed,PULSE1,180,5.525466825,-3.70836554,1.817101286,150.299040875
D,reference,PULSE1,180,6.484887145,-3.388018212,3.096868933,94.78605820833333
E,reference,PULSE1,180,10.70059444,-5.656245102,5.044349338,152.42635441666667
F,reference,PULSE1,180,9.158075589,-10.29854391,-1.140468324,98.73925879166667
A,pulsed,PULSE1,181,NA,NA,NA,23.790077020833333
B,pulsed,PULSE1,181,0.100542314,-3.100415608,-2.999873295,52.77960989583333
C,pulsed,PULSE1,181,2.864849191,-1.981931145,0.882918046,145.45638777083335
D,reference,PULSE1,181,9.638526447,-15.80605741,-6.16753096,94.88687591666667
E,reference,PULSE1,181,8.000735588,-6.864081123,1.136654466,143.64897
F,reference,PULSE1,181,5.928796759,-6.978161094,-1.049364335,115.2966895
A,pulsed,PULSE1,182,NA,NA,NA,18.133713291666666
B,pulsed,PULSE1,182,NA,NA,NA,49.595025
C,pulsed,PULSE1,182,0.053231354,-0.455138248,-0.401906894,130.77481758333334
D,reference,PULSE1,182,2.384216892,-0.943049918,1.441166974,90.96164745833333
E,reference,PULSE1,182,9.479247501,-9.893798526,-0.414551025,145.2407205
F,reference,PULSE1,182,3.391995486,-2.989668445,0.402327041,120.15149272916666
A,pulsed,PULSE1,183,2.450659892,-7.805686239,-5.355026347,16.701309604166667
B,pulsed,PULSE1,183,3.628261928,-6.477492479,-2.8492305509999998,43.38417327083333
C,pulsed,PULSE1,183,4.792687409,-5.400830785,-0.608143376,129.7378153125
D,reference,PULSE1,183,11.4346307,-16.83102895,-5.396398259,65.48873775
E,reference,PULSE1,183,6.607523514,-9.372449018,-2.764925504,107.65229843750001
F,reference,PULSE1,183,6.667684296,-1.860332996,4.8073513,100.63075827083334
A,pulsed,PULSE1,184,0.874916109,-4.512519666,-3.637603558,10.837421083333334
B,pulsed,PULSE1,184,4.273615005,-4.086410717,0.187204288,57.2980875
C,pulsed,PULSE1,184,7.099209479,-2.629931936,4.469277543,150.627748
D,reference,PULSE1,184,7.145076493,-10.24916835,-3.104091853,67.53060222916666
E,reference,PULSE1,184,6.424626405,-4.709561153,1.715065252,108.93027520833333
F,reference,PULSE1,184,3.281717758,-4.750053741,-1.468335983,119.88802339583333
A,pulsed,PULSE1,185,0.371657489,-4.180735602,-3.809078113,11.540952208333334
B,pulsed,PULSE1,185,4.728559265,-9.685409775,-4.95685051,42.06883704166667
C,pulsed,PULSE1,185,7.824104208,-6.949772569,0.874331639,168.1758325625
D,reference,PULSE1,185,4.701605068,-7.163013451,-2.461408383,67.53979429166667
E,reference,PULSE1,185,1.547113262,-2.618300594,-1.071187332,123.57312508333334
F,reference,PULSE1,185,8.140661558,-6.749366454,1.391295104,119.3297589375
A,pulsed,PULSE1,186,0.920169744,-5.665874678,-4.745704934,6.849360145833333
B,pulsed,PULSE1,186,6.683079303,-10.2692012,-3.586121895,46.83776575
C,pulsed,PULSE1,186,5.131280691,-4.616476633,0.514804059,170.95152283333334
D,reference,PULSE1,186,7.012413239,-12.21146936,-5.199056121,60.43692204166667
E,reference,PULSE1,186,9.956445636,-10.95637248,-0.999926842,111.59097270833334
F,reference,PULSE1,186,4.893712141,-4.492959054,0.400753088,127.37063470833334
A,pulsed,PULSE1,187,3.670528577,-6.794116214,-3.123587636,12.351430166666667
B,pulsed,PULSE1,187,15.5702454,-15.25294104,0.317304358,63.652177458333334
C,pulsed,PULSE1,187,5.419122238,-6.002047339,-0.582925102,157.17608547916666
D,reference,PULSE1,187,11.66454371,-15.4978462,-3.833302494,61.38611514583334
E,reference,PULSE1,187,7.630414619,-6.489596225,1.140818394,119.4804304375
F,reference,PULSE1,187,7.467891199,-7.355347364,0.112543835,131.20996239583334
A,pulsed,PULSE1,188,2.458624776,-6.851070647,-4.392445871,9.337439125
B,pulsed,PULSE1,188,4.917981885,-7.381431148,-2.4634492629999998,45.68742125
C,pulsed,PULSE1,188,7.628121796,-8.08267571,-0.454553914,110.05397864583334
D,reference,PULSE1,188,12.1745141,-15.85170478,-3.677190682,57.734070125
E,reference,PULSE1,188,8.566249073,-8.439224235,0.127024839,132.3075003125
F,reference,PULSE1,188,6.457324121,-3.072024256,3.385299865,130.64416229166667
A,pulsed,PULSE1,189,1.26601069,-4.256548376,-2.990537686,7.480390916666667
B,pulsed,PULSE1,189,5.129301098,-8.709558584,-3.580257486,47.1790714375
C,pulsed,PULSE1,189,4.007777287,-5.040724079,-1.032946793,125.36177616666667
D,reference,PULSE1,189,6.506800875,-8.898722323,-2.391921448,53.435822125
E,reference,PULSE1,189,11.16928432,-14.3503522,-3.181067878,119.75896877083333
F,reference,PULSE1,189,9.081200176,-10.82573505,-1.74453487,126.93574916666667
A,pulsed,PULSE1,190,0.858468033,-4.411923249,-3.553455216,5.0553702708333335
B,pulsed,PULSE1,190,3.85627691,-7.967060527,-4.110783617,40.338346375
C,pulsed,PULSE1,190,3.867900806,-4.392558338,-0.524657531,118.20801924999999
D,reference,PULSE1,190,9.718953904,-11.37786331,-1.658909406,50.793710833333336
E,reference,PULSE1,190,5.888315834,-5.168643428,0.719672405,103.61872127083333
F,reference,PULSE1,190,9.5115889,-7.287078252,2.224510648,114.77391458333334
A,pulsed,PULSE1,191,NA,NA,NA,6.9151267291666665
B,pulsed,PULSE1,191,NA,NA,NA,35.8663115625
C,pulsed,PULSE1,191,4.978236556,-7.732191262,-2.753954706,89.19266541666667
D,reference,PULSE1,191,11.59406843,-16.68901649,-5.094948061,42.494096479166664
E,reference,PULSE1,191,8.479108349,-9.526836931,-1.047728582,99.71942872916667
F,reference,PULSE1,191,7.290730745,-13.68959309,-6.398862348,82.66263172916666
A,pulsed,PULSE1,192,NA,NA,NA,14.55468644680851
B,pulsed,PULSE1,192,NA,NA,NA,38.022024808510636
C,pulsed,PULSE1,192,9.406241784,-13.96358,-4.557338216,66.78739654166667
D,reference,PULSE1,192,7.442712061,-11.2441782,-3.801466136,19.875915770833334
E,reference,PULSE1,192,NA,NA,NA,91.13495906382978
F,reference,PULSE1,192,NA,NA,NA,89.3164289574468
A,pulsed,PULSE1,193,1.705621005,-4.611788486,-2.906167481,21.984320375
B,pulsed,PULSE1,193,1.228885114,-3.144367726,-1.915482612,45.27158908333333
C,pulsed,PULSE1,193,3.259907278,-1.248162881,2.011744397,81.65615691666666
D,reference,PULSE1,193,2.591581853,-4.888466711,-2.296884859,21.9325074375
E,reference,PULSE1,193,2.983373521,-0.193221667,2.790151854,109.52776825
